"hood","pps.x","count.x","pps.y","count.y"
"Apollobuurt",5218.66341013605,59,4663.56349816642,58
"Banne Buiksloot",2068.799184059,31,2019.18629483812,38
"Betondorp",3134.3278485692,9,3149.91914335664,8
"Bijlmer-Centrum (D, F, H)",1923.05867807971,68,1878.50591628038,67
"Bijlmer-Oost (E, G, K)",1436.77337552787,66,1566.96252513686,23
"Buiksloterham",3730.28800950535,13,4308.23576307084,7
"Buikslotermeer",1964.1235353823,83,1901.18628660729,68
"Buitenveldert-Oost",3596.96043336118,161,2659.25749283323,54
"Buitenveldert-West",3101.39037542629,120,3110.65022459129,112
"Burgwallen-Nieuwe Zijde",4925.29018201012,21,4766.56149148263,24
"Burgwallen-Oude Zijde",4294.72890436081,21,4320.65545923717,9
"Centrale Markt",3777.33192522255,20,3690.50651722322,19
"Da Costabuurt",4531.15171130376,38,4577.6801020387,38
"Dapperbuurt",3817.06652491409,47,3497.87448698383,58
"De Kolenkit",2709.6569854153,77,2980.57088540023,46
"De Krommert",3812.62540871403,99,3687.93916224622,125
"De Omval",3167.45761826972,7,3218.5902361515,45
"De Punt",1952.03933747412,23,1963.34548046556,22
"De Weteringschans",5203.53049931273,57,4809.90224237829,55
"Diamantbuurt",4196.15828119882,43,3988.40323512156,39
"Duivelseiland",5234.21049723142,15,5239.59987706117,17
"Eendracht",2181.5444015444,5,2281.31115459883,2
"Erasmuspark",3297.33878881749,72,3240.99340844912,84
"Frankendael",3813.34894702888,39,3668.11978385013,39
"Frederik Hendrikbuurt",4304.35816908256,82,4103.75786033101,69
"Gein",1798.68757011336,16,1676.49882138908,23
"Geuzenveld",2183.17358274963,42,2134.9913786865,18
"Grachtengordel-West",6010.42372754515,59,5595.84320508434,39
"Grachtengordel-Zuid",5711.6939986711,20,5577.02397828962,28
"Haarlemmerbuurt",4673.37287948266,59,4522.4086113408,60
"Helmersbuurt",5065.45017097846,71,4830.31228280787,53
"Holendrecht/Reigersbos",1749.4506847615,31,1704.1657397436,34
"Hoofddorppleinbuurt",4371.11910823933,136,4011.66501196048,169
"Hoofdweg en omgeving",3698.1761666578,79,3576.34739271417,73
"Houthavens",3939.27409367197,11,3439.89178361321,22
"IJburg West",2745.85092741388,51,2611.38931536511,45
"IJburg Zuid",2744.57517389136,44,2661.98816580694,18
"IJselbuurt",4285.15192337599,21,3871.07832549231,24
"Ijplein/Vogelbuurt",2910.59487701325,42,2763.13151258793,37
"Indische Buurt Oost",3300.14240607442,81,3069.55984027989,57
"Indische Buurt West",3786.18225798952,125,3453.92261398121,119
"Jordaan",5319.32108706409,149,5014.60136734303,94
"Kadoelen",2366.7672735761,3,2141.02564102564,2
"Kinkerbuurt",4440.89760386734,47,4219.76647609985,75
"Landlust",3384.66348691823,170,3209.25483737202,151
"Middelveldsche Akerpolder en Sloten",2321.64877712989,25,2391.31451422242,19
"Middenmeer",3827.42900738645,82,3594.22126111087,73
"Museumkwartier",5824.09738194221,66,5666.73305111812,56
"Nellestein",1983.62216368214,15,1799.85723163247,21
"Nieuwe Pijp",4807.65910539097,116,4531.59579509801,92
"Nieuwendam-Noord",2039.87695694531,48,2018.25115938583,31
"Nieuwmarkt/Lastage",4870.4281094911,62,4422.08143892687,61
"Oostelijk Havengebied",3504.63227209063,89,3484.93581848414,95
"Oostelijke Eilanden/Kadijken",3845.56783810638,122,3892.44882542295,114
"Oosterparkbuurt",4642.0921628767,164,4043.21474291947,91
"Oostzanerwerf",2100.68817927842,25,1952.34606013893,27
"Osdorp-Midden",2334.79132011223,47,2323.9388082874,32
"Osdorp-Oost",2148.75360178733,60,2124.86300276608,52
"Oude Pijp",4763.34234767,119,4635.17376213211,129
"Overtoomse Sluis",5005.37165038408,102,4601.93168516342,86
"Overtoomse Veld",2693.57472125673,73,2517.69122113799,62
"Rijnbuurt",4292.09966032708,64,3909.21955242613,90
"Scheldebuurt",4477.02155632339,101,4222.72401539291,100
"Schinkelbuurt",4670.74329658781,41,4469.46389966485,41
"Sloten- en Riekerpolder",2414.66749151264,20,2536.11959327604,8
"Slotermeer-Noordoost",2417.45854515705,21,2439.13401421115,20
"Slotermeer-Zuidwest",2099.31873555488,41,2011.45992194977,40
"Slotervaart",2485.65003757204,42,2312.57315139573,31
"Spaarndammer- en Zeeheldenbuurt",3781.15731555015,76,3659.43720084438,80
"Staatsliedenbuurt",4316.85161478461,120,4068.55460520987,129
"Stadionbuurt",4482.73058807017,69,4367.79357216855,70
"Station-Zuid WTC en omgeving",3609.0388703114,11,3235.72856762845,14
"Transvaalbuurt",3843.91563321308,57,3559.50322095121,67
"Tuindorp Buiksloot",2813.40037677305,4,2634.05797101449,3
"Tuindorp Nieuwendam",2905.61229705967,4,2522.72727272727,2
"Tuindorp Oostzaan",2280.34970783688,26,2210.86259399737,12
"Van Galenbuurt",3660.74562164946,37,3478.68986633078,36
"Van Lennepbuurt",4447.1120786343,71,4202.87673959488,48
"Volewijck",2514.77519371173,34,2496.50188355368,16
"Vondelbuurt",6081.99313409055,14,4705.0078090419,7
"Weesperbuurt/Plantage",4700.11617696715,49,4658.03326761275,42
"Weesperzijde",4501.67495106271,76,4249.72543470295,66
"Westindische buurt",3890.90015861172,77,3816.81422301069,57
"Westlandgracht",3200.52818417659,38,3121.97538914744,30
"Willemspark",5569.10686472141,43,5162.21008021456,40
"Zeeburgereiland/Nieuwe Diep",2204.90814936007,5,2834.88888888889,2
